date,time,open,maximum,minimum,close,volume
06.08.2001,0:00,1.5291,1.5308,1.5231,1.5261,4380
07.08.2001,0:00,1.526,1.536,1.5251,1.5356,5353
08.08.2001,0:00,1.5351,1.5362,1.5303,1.5337,4241
09.08.2001,0:00,1.5338,1.5411,1.5325,1.5391,3766
10.08.2001,0:00,1.5389,1.5438,1.5382,1.5392,4079
13.08.2001,0:00,1.5393,1.5402,1.5368,1.5383,3622
14.08.2001,0:00,1.5382,1.5418,1.5352,1.536,4333
15.08.2001,0:00,1.5359,1.5372,1.5256,1.5279,4804
16.08.2001,0:00,1.5281,1.5392,1.525,1.5378,4807
17.08.2001,0:00,1.5377,1.5446,1.5345,1.5427,5012
20.08.2001,0:00,1.5429,1.5474,1.5418,1.5448,4503
21.08.2001,0:00,1.5446,1.5506,1.5432,1.5479,4197
22.08.2001,0:00,1.5482,1.55,1.5408,1.542,4142
23.08.2001,0:00,1.5419,1.5436,1.5394,1.5395,4075
24.08.2001,0:00,1.54,1.5423,1.5373,1.5393,3616
27.08.2001,0:00,1.5395,1.544,1.539,1.5401,3164
28.08.2001,0:00,1.5406,1.5444,1.5378,1.539,4133
29.08.2001,0:00,1.5391,1.5467,1.5376,1.5458,4157
30.08.2001,0:00,1.5454,1.5474,1.5435,1.5447,4620
31.08.2001,0:00,1.545,1.552,1.5414,1.5512,5311
03.09.2001,0:00,1.5495,1.5521,1.5487,1.5507,2696
04.09.2001,0:00,1.5511,1.5612,1.5457,1.5589,4766
05.09.2001,0:00,1.5586,1.5639,1.555,1.5565,4449
06.09.2001,0:00,1.5565,1.56,1.5539,1.5573,4942
07.09.2001,0:00,1.557,1.5685,1.556,1.5656,4954
10.09.2001,0:00,1.5657,1.5702,1.5617,1.5631,5172
11.09.2001,0:00,1.5632,1.5727,1.5585,1.5643,5638
12.09.2001,0:00,1.5645,1.5666,1.5567,1.5624,4195
13.09.2001,0:00,1.563,1.5694,1.5602,1.5664,4831
14.09.2001,0:00,1.5659,1.5708,1.5628,1.5643,5137
17.09.2001,0:00,1.5636,1.571,1.5633,1.5697,5342
18.09.2001,0:00,1.5697,1.5737,1.5687,1.5728,4925
19.09.2001,0:00,1.5727,1.5742,1.5662,1.5691,4976
20.09.2001,0:00,1.5695,1.5729,1.5659,1.5712,4605
21.09.2001,0:00,1.5714,1.5719,1.5623,1.5713,5857
24.09.2001,0:00,1.5712,1.5721,1.5667,1.5707,3599
25.09.2001,0:00,1.5707,1.5719,1.5657,1.5704,4085
26.09.2001,0:00,1.5703,1.5751,1.5691,1.572,4093
27.09.2001,0:00,1.5721,1.5795,1.5712,1.578,4362
28.09.2001,0:00,1.5779,1.5812,1.5752,1.5792,4023
01.10.2001,0:00,1.5787,1.58,1.5717,1.5735,3903
02.10.2001,0:00,1.5734,1.5752,1.5666,1.5677,4737
03.10.2001,0:00,1.5678,1.5696,1.5655,1.5686,3521
04.10.2001,0:00,1.5685,1.5696,1.5649,1.5688,3656
05.10.2001,0:00,1.569,1.5719,1.5607,1.562,4050
08.10.2001,0:00,1.5628,1.5643,1.5598,1.5612,3014
09.10.2001,0:00,1.5611,1.5675,1.5576,1.5655,4118
10.10.2001,0:00,1.5661,1.5694,1.5618,1.5677,4088
11.10.2001,0:00,1.5677,1.5703,1.5635,1.5651,4545
12.10.2001,0:00,1.5652,1.5685,1.5609,1.5628,4443
